,Date,Close,Adj_Close,PE_LTM,EPS_Est_High_NTM,EPS_Est_Low_NTM,Volume,SI_pc,Vol,n_Buys,n_Sell,n_Hold,Total_Rec,pc_Buy,pc_Sell,pc_Hold
104,6/10/2003,24.68,15.59881784,36.33403165,1.33,0.94,80734302.0,0.953692248,0.2653659,12.0,0.0,3.0,15.0,0.8,0.0,0.2
105,6/11/2003,24.88,15.72522641,36.62847275,1.33,0.94,75791784.0,0.953692248,0.268006095,12.0,0.0,3.0,15.0,0.8,0.0,0.2
106,6/12/2003,24.99,15.79475113,36.79041535,1.33,0.94,66224396.0,0.953692248,0.268105847,12.0,0.0,3.0,15.0,0.8,0.0,0.2
107,6/13/2003,24.65,15.57985656,36.28986548,1.33,0.94,55158965.0,0.953692248,0.26796558,12.0,0.0,3.0,15.0,0.8,0.0,0.2
108,6/16/2003,25.39,16.04756827,37.37929755,1.33,0.94,70139491.0,0.953692248,0.288282006,12.0,0.0,3.0,15.0,0.8,0.0,0.2
109,6/17/2003,25.959,16.40720066,38.21698248,1.33,0.94,122234258.0,0.953692248,0.297288854,12.0,0.0,3.0,15.0,0.8,0.0,0.2
110,6/18/2003,26.07,16.47735742,38.38039729,1.33,0.94,89966720.0,0.953692248,0.274719132,12.0,0.0,3.0,15.0,0.8,0.0,0.2
111,6/19/2003,26.07,16.47735742,38.38039729,1.33,0.94,63712208.0,0.953692248,0.27282567,12.0,0.0,3.0,15.0,0.8,0.0,0.2
112,6/20/2003,26.33,16.64168856,38.76317072,1.33,0.94,86918549.0,0.953692248,0.254823833,12.0,0.0,3.0,15.0,0.8,0.0,0.2
113,6/23/2003,25.78,16.29406499,37.9534577,1.33,0.94,53001295.0,0.953692248,0.269572122,12.0,0.0,3.0,15.0,0.8,0.0,0.2
114,6/24/2003,25.7,16.24350156,37.83568126,1.33,0.94,51939104.0,0.953692248,0.270425243,12.0,0.0,3.0,15.0,0.8,0.0,0.2
115,6/25/2003,25.26,15.9654027,37.18791084,1.33,0.94,60580527.0,0.953692248,0.268269513,12.0,0.0,3.0,15.0,0.8,0.0,0.2
116,6/26/2003,25.75,16.2751037,37.90929153,1.33,0.94,51735860.0,0.953692248,0.268534594,12.0,0.0,3.0,15.0,0.8,0.0,0.2
117,6/27/2003,25.63,16.19925856,37.73262687,1.34,0.94,76061812.0,0.953692248,0.269529251,12.0,0.0,3.0,15.0,0.8,0.0,0.2
118,6/30/2003,25.64,16.20557899,37.74734893,1.34,0.94,53109054.0,0.953692248,0.268635769,12.0,0.0,3.0,15.0,0.8,0.0,0.2
119,7/1/2003,26.15,16.52792085,38.49817373,1.34,0.94,61030761.0,0.953692248,0.275533277,13.0,0.0,2.0,15.0,0.8666666666666667,0.0,0.1333333333333333
120,7/2/2003,26.88,16.98931214,39.57288374,1.34,0.94,95165555.0,0.953692248,0.287776423,13.0,0.0,2.0,15.0,0.8666666666666667,0.0,0.1333333333333333
